student_id,name,gender,age,grade_level,parental_education,study_hours_per_week,attendance_rate,internet_access,extracurricular_activities,test_prep_course,sleep_hours,previous_score,math_score,science_score,english_score,final_score,passed,risk_level,stem_average,overall_subject_avg,study_attendance_index,score_delta
STU12545,Vikram Reddy,Male,19,Grade 10,Some College,3.2,91.6,No,No,Completed,7.2,45.6,48.0,49.0,38.0,52.0,Yes,High,48.5,45.0,2.93,6.4
STU12546,Shreya Pandey,Female,18,Grade 12,Bachelor's Degree,6.3,97.6,Yes,Yes,Not Completed,4.8,52.6,60.0,55.0,63.0,60.6,Yes,Medium,57.5,59.3,6.15,8.0
STU12547,Pooja Khan,Male,16,Grade 12,High School,5.3,74.8,Yes,No,Not Completed,7.7,39.8,26.0,28.0,37.0,34.5,No,High,27.0,30.3,3.96,-5.3
STU12548,Simran Deshmukh,Female,15,Grade 11,High School,10.2,78.0,Yes,Yes,Completed,8.5,60.8,58.0,53.0,64.0,61.7,Yes,Medium,55.5,58.3,7.96,0.9
STU12549,Manav Roy,Male,17,Grade 10,High School,4.2,68.1,Yes,No,Not Completed,5.3,37.9,49.0,34.0,35.0,39.5,No,High,41.5,39.3,2.86,1.6
STU12550,Nisha Malhotra,Female,17,Grade 12,Bachelor's Degree,18.3,53.0,Yes,Yes,Not Completed,5.4,61.2,52.0,62.0,54.0,55.3,Yes,Medium,57.0,56.0,9.7,-5.9
STU12551,Neha Agarwal,Female,17,Grade 12,Some College,6.4,93.4,Yes,Yes,Not Completed,7.6,56.3,56.0,49.0,50.0,52.9,Yes,High,52.5,51.7,5.98,-3.4
STU12552,Diya Gupta,Female,18,Grade 12,High School,10.0,93.1,Yes,Yes,Not Completed,5.2,42.5,54.0,34.0,34.0,48.6,No,High,44.0,40.7,9.31,6.1
STU12553,Lavanya Krishnan,Female,18,Grade 10,Bachelor's Degree,12.8,65.4,Yes,No,Not Completed,4.7,52.6,62.0,52.0,50.0,55.3,Yes,Medium,57.0,54.7,8.37,2.7
STU12554,Simran Dhawan,Male,17,Grade 10,Bachelor's Degree,6.3,86.9,No,Yes,Completed,6.6,57.5,49.0,62.0,59.0,62.9,Yes,Medium,55.5,56.7,5.47,5.4
STU12555,Ananya Dhawan,Male,18,Grade 10,Some College,18.4,90.6,Yes,Yes,Not Completed,6.9,69.5,54.0,63.0,65.0,60.2,Yes,Medium,58.5,60.7,16.67,-9.3
STU12556,Siddharth Jain,Male,15,Grade 10,High School,9.6,86.9,No,Yes,Completed,5.4,46.0,31.0,46.0,42.0,46.4,No,High,38.5,39.7,8.34,0.4
STU12557,Nisha Jain,Female,18,Grade 12,Master's Degree,4.8,92.2,No,Yes,Completed,7.4,51.5,48.0,50.0,48.0,50.7,Yes,High,49.0,48.7,4.43,-0.8
STU12558,Ananya Mishra,Female,19,Grade 11,Bachelor's Degree,19.6,83.7,Yes,No,Not Completed,7.0,69.2,60.0,57.0,62.0,57.6,Yes,Medium,58.5,59.7,16.41,-11.6
STU12559,Priya Sen,Male,17,Grade 12,Some College,7.7,79.3,Yes,Yes,Not Completed,6.9,42.8,46.0,35.0,40.0,42.7,No,High,40.5,40.3,6.11,-0.1
STU12560,Nisha Patel,Male,19,Grade 11,Master's Degree,13.9,87.3,Yes,Yes,Not Completed,7.1,63.9,55.0,73.0,71.0,74.9,Yes,Medium,64.0,66.3,12.13,11.0
STU12561,Tara Singh,Female,19,Grade 11,Bachelor's Degree,9.9,86.0,No,Yes,Not Completed,5.8,43.6,40.0,40.0,42.0,43.0,No,High,40.0,40.7,8.51,-0.6
STU12562,Sanjay Saxena,Male,18,Grade 12,High School,15.5,92.0,No,No,Completed,7.5,50.3,46.0,47.0,51.0,49.7,No,High,46.5,48.0,14.26,-0.6
STU12563,Sanjay Bose,Male,16,Grade 11,Master's Degree,10.3,61.3,Yes,Yes,Not Completed,7.5,40.5,32.0,28.0,35.0,28.3,No,High,30.0,31.7,6.31,-12.2
STU12564,Lavanya Iyer,Female,15,Grade 11,Associate Degree,11.0,72.9,Yes,Yes,Not Completed,8.7,51.0,41.0,62.0,55.0,47.7,No,High,51.5,52.7,8.02,-3.3
STU12565,Swati Dhawan,Female,16,Grade 12,Bachelor's Degree,7.4,68.8,Yes,Yes,Not Completed,7.1,42.1,40.0,41.0,45.0,43.7,No,High,40.5,42.0,5.09,1.6
STU12566,Aryan Rao,Male,15,Grade 12,Bachelor's Degree,2.1,87.7,Yes,No,Not Completed,7.2,44.9,45.0,44.0,40.0,47.3,No,High,44.5,43.0,1.84,2.4
STU12567,Simran Khan,Male,17,Grade 12,Bachelor's Degree,8.5,68.5,Yes,No,Completed,6.7,63.2,50.0,51.0,62.0,52.5,Yes,High,50.5,54.3,5.82,-10.7
STU12568,Suresh Sharma,Female,17,Grade 12,High School,8.5,74.5,No,Yes,Completed,6.8,49.7,47.0,55.0,39.0,50.6,Yes,High,51.0,47.0,6.33,0.9
STU12569,Mohit Deshmukh,Male,16,Grade 11,Associate Degree,4.4,86.5,Yes,No,Completed,6.7,48.9,48.0,52.0,40.0,50.4,Yes,High,50.0,46.7,3.81,1.5
STU12570,Lavanya Patel,Male,15,Grade 11,High School,2.3,84.5,Yes,Yes,Not Completed,8.9,41.8,45.0,56.0,42.0,48.5,No,High,50.5,47.7,1.94,6.7
STU12571,Rohan Pandey,Male,19,Grade 10,Some College,7.9,61.4,No,No,Not Completed,7.6,37.7,27.0,37.0,39.0,34.7,No,High,32.0,34.3,4.85,-3.0
STU12572,Manav Singh,Female,17,Grade 12,Master's Degree,9.7,98.4,No,No,Not Completed,8.8,56.0,55.0,48.0,64.0,58.4,Yes,Medium,51.5,55.7,9.54,2.4
STU12573,Neha Deshmukh,Female,18,Grade 10,Some College,4.7,84.6,No,No,Completed,6.3,51.2,43.0,52.0,54.0,56.5,Yes,Medium,47.5,49.7,3.98,5.3
STU12574,Rahul Dhawan,Male,18,Grade 10,High School,13.1,90.7,No,Yes,Not Completed,8.0,36.3,48.0,31.0,38.0,40.0,No,High,39.5,39.0,11.88,3.7
STU12575,Dev Kapoor,Female,19,Grade 12,Bachelor's Degree,5.0,71.4,Yes,No,Not Completed,8.7,39.3,45.0,35.0,39.0,40.2,No,High,40.0,39.7,3.57,0.9
STU12576,Ananya Choudhary,Female,15,Grade 10,Some College,12.6,90.5,No,Yes,Not Completed,6.9,49.3,60.0,38.0,43.0,52.1,Yes,High,49.0,47.0,11.4,2.8
STU12577,Swati Chopra,Male,19,Grade 11,High School,2.7,79.6,Yes,Yes,Not Completed,7.6,35.0,29.0,29.0,29.0,32.5,No,High,29.0,29.0,2.15,-2.5
STU12578,Rohan Shukla,Female,15,Grade 12,High School,15.8,95.0,Yes,No,Completed,8.2,57.2,50.0,48.0,49.0,48.9,No,High,49.0,49.0,15.01,-8.3
STU12579,Rahul Tiwari,Female,17,Grade 12,High School,12.7,62.2,No,No,Completed,7.8,49.8,41.0,44.0,44.0,47.6,No,High,42.5,43.0,7.9,-2.2
STU12580,Preeti Gupta,Female,17,Grade 10,Bachelor's Degree,7.9,82.3,Yes,Yes,Not Completed,6.3,43.2,44.0,32.0,55.0,43.3,No,High,38.0,43.7,6.5,0.1
STU12581,Vikram Chopra,Male,15,Grade 12,Bachelor's Degree,13.6,61.8,No,Yes,Not Completed,6.6,37.0,26.0,44.0,31.0,38.2,No,High,35.0,33.7,8.4,1.2
STU12582,Vikram Iyer,Female,17,Grade 12,Master's Degree,14.4,93.3,Yes,No,Completed,8.5,73.5,77.0,79.0,73.0,67.4,Yes,Medium,78.0,76.3,13.44,-6.1
STU12583,Aisha Bhatt,Female,18,Grade 11,High School,8.6,61.3,Yes,Yes,Not Completed,8.1,36.1,53.0,42.0,28.0,36.3,No,High,47.5,41.0,5.27,0.2
STU12584,Diya Patel,Male,19,Grade 11,Master's Degree,6.2,86.5,Yes,No,Not Completed,5.1,57.3,58.0,52.0,59.0,61.9,Yes,Medium,55.0,56.3,5.36,4.6
STU12585,Tanvi Bhatt,Male,18,Grade 11,Bachelor's Degree,2.5,83.0,Yes,No,Not Completed,5.5,43.4,49.0,41.0,39.0,49.7,No,High,45.0,43.0,2.08,6.3
STU12586,Ritu Patel,Female,17,Grade 10,High School,2.0,78.7,No,No,Not Completed,5.5,35.0,37.0,31.0,36.0,37.7,No,High,34.0,34.7,1.57,2.7
STU12587,Aryan Verma,Female,15,Grade 12,High School,6.7,85.2,No,No,Not Completed,5.2,40.0,42.0,44.0,41.0,41.0,No,High,43.0,42.3,5.71,1.0
STU12588,Nisha Deshmukh,Male,16,Grade 11,Associate Degree,10.8,77.7,No,No,Not Completed,8.1,47.2,51.0,55.0,43.0,49.5,No,High,53.0,49.7,8.39,2.3
STU12589,Kritika Gupta,Female,18,Grade 12,Some College,18.3,93.4,No,Yes,Not Completed,6.1,68.5,60.0,68.0,73.0,64.5,Yes,Medium,64.0,67.0,17.09,-4.0
STU12590,Sneha Reddy,Female,19,Grade 12,Associate Degree,11.5,92.0,Yes,Yes,Not Completed,7.3,62.6,56.0,68.0,69.0,64.8,Yes,Medium,62.0,64.3,10.58,2.2
STU12591,Akash Shukla,Male,19,Grade 12,Bachelor's Degree,3.6,85.6,Yes,Yes,Not Completed,6.4,44.6,31.0,50.0,41.0,34.5,No,High,40.5,40.7,3.08,-10.1
STU12592,Meera Chatterjee,Female,19,Grade 11,Bachelor's Degree,6.3,80.6,Yes,Yes,Completed,7.0,51.0,41.0,51.0,54.0,46.7,No,High,46.0,48.7,5.08,-4.3
STU12593,Mohit Chatterjee,Male,17,Grade 11,Some College,2.2,82.5,Yes,Yes,Not Completed,8.3,40.7,37.0,29.0,30.0,38.5,No,High,33.0,32.0,1.82,-2.2
STU12594,Aditya Bose,Male,16,Grade 11,Bachelor's Degree,11.7,99.5,No,No,Not Completed,7.7,49.6,44.0,54.0,41.0,50.8,Yes,High,49.0,46.3,11.64,1.2
STU12595,Kavya Khan,Female,18,Grade 11,Master's Degree,7.8,85.4,Yes,No,Completed,6.0,67.3,76.0,73.0,59.0,72.2,Yes,Medium,74.5,69.3,6.66,4.9
STU12596,Anjali Krishnan,Female,18,Grade 12,Some College,10.1,75.4,Yes,Yes,Not Completed,6.3,39.8,44.0,45.0,30.0,45.2,No,High,44.5,39.7,7.62,5.4
STU12597,Manav Khan,Female,17,Grade 12,Some College,9.2,80.8,Yes,Yes,Not Completed,6.9,48.7,59.0,49.0,51.0,55.6,Yes,Medium,54.0,53.0,7.43,6.9
STU12598,Kartik Reddy,Male,18,Grade 12,High School,6.0,65.1,No,Yes,Completed,6.0,40.9,44.0,37.0,41.0,43.3,No,High,40.5,40.7,3.91,2.4
STU12599,Dev Srivastava,Male,16,Grade 12,Associate Degree,11.7,59.7,Yes,Yes,Completed,5.8,57.5,51.0,49.0,50.0,39.4,No,High,50.0,50.0,6.98,-18.1
STU12600,Kabir Dubey,Female,18,Grade 12,Some College,9.1,90.0,Yes,No,Not Completed,7.0,46.7,47.0,39.0,45.0,46.4,No,High,43.0,43.7,8.19,-0.3
STU12601,Kritika Malhotra,Male,17,Grade 11,High School,16.0,81.9,No,Yes,Not Completed,6.9,51.2,41.0,47.0,45.0,41.8,No,High,44.0,44.3,13.1,-9.4
STU12602,Karan Krishnan,Female,18,Grade 11,Master's Degree,23.7,84.6,Yes,Yes,Completed,7.4,78.7,76.0,75.0,77.0,66.7,Yes,Medium,75.5,76.0,20.05,-12.0
STU12603,Kartik Verma,Male,16,Grade 10,High School,10.4,94.2,Yes,Yes,Completed,6.8,53.8,45.0,33.0,51.0,41.4,No,High,39.0,43.0,9.8,-12.4
STU12604,Lavanya Sharma,Female,15,Grade 11,High School,5.3,63.5,Yes,No,Completed,6.2,39.2,33.0,27.0,28.0,33.2,No,High,30.0,29.3,3.37,-6.0
STU12605,Rahul Shukla,Male,15,Grade 10,High School,6.9,94.9,Yes,Yes,Completed,6.8,57.8,50.0,60.0,56.0,54.2,Yes,High,55.0,55.3,6.55,-3.6
STU12606,Rohan Menon,Female,16,Grade 10,Bachelor's Degree,8.4,95.2,Yes,No,Not Completed,8.0,50.4,55.0,46.0,48.0,55.6,Yes,Medium,50.5,49.7,8.0,5.2
STU12607,Kabir Chopra,Male,18,Grade 11,Bachelor's Degree,23.4,76.9,Yes,Yes,Not Completed,9.3,63.5,70.0,56.0,66.0,60.1,Yes,Medium,63.0,64.0,17.99,-3.4
STU12608,Kabir Sheikh,Female,17,Grade 10,High School,4.4,81.2,Yes,Yes,Completed,8.0,39.3,29.0,31.0,43.0,38.9,No,High,30.0,34.3,3.57,-0.4
STU12609,Tanvi Rao,Female,15,Grade 10,High School,2.5,90.0,Yes,No,Not Completed,6.9,38.1,26.0,26.0,36.0,38.6,No,High,26.0,29.3,2.25,0.5
STU12610,Anjali Pandey,Male,18,Grade 12,High School,7.0,88.9,Yes,Yes,Not Completed,7.3,38.3,41.0,40.0,42.0,48.9,No,High,40.5,41.0,6.22,10.6
STU12611,Harsh Menon,Male,18,Grade 12,Bachelor's Degree,4.1,98.4,No,No,Completed,6.0,66.7,61.0,71.0,64.0,60.4,Yes,Medium,66.0,65.3,4.03,-6.3
STU12612,Kabir Kapoor,Female,16,Grade 10,Some College,10.8,62.6,Yes,Yes,Completed,4.5,47.2,34.0,57.0,38.0,38.7,No,High,45.5,43.0,6.76,-8.5
STU12613,Kritika Dutta,Male,18,Grade 11,High School,18.9,84.1,Yes,Yes,Completed,6.6,61.1,59.0,58.0,65.0,57.4,Yes,Medium,58.5,60.7,15.89,-3.7
STU12614,Karan Srivastava,Female,19,Grade 12,Bachelor's Degree,8.4,75.7,Yes,Yes,Not Completed,7.5,48.6,55.0,35.0,47.0,50.2,Yes,High,45.0,45.7,6.36,1.6
STU12615,Kritika Dhawan,Female,16,Grade 11,High School,12.1,62.3,Yes,Yes,Not Completed,4.0,36.4,32.0,33.0,28.0,31.7,No,High,32.5,31.0,7.54,-4.7
STU12616,Shreya Rao,Female,19,Grade 12,Some College,5.4,88.7,Yes,Yes,Completed,6.4,49.8,50.0,52.0,49.0,51.6,Yes,High,51.0,50.3,4.79,1.8
STU12617,Bhavna Dutta,Male,17,Grade 11,Master's Degree,7.3,82.2,Yes,Yes,Not Completed,6.4,49.3,52.0,40.0,45.0,44.2,No,High,46.0,45.7,6.0,-5.1
STU12618,Siddharth Deshmukh,Female,16,Grade 10,Bachelor's Degree,11.6,72.0,No,No,Not Completed,7.0,36.2,28.0,41.0,28.0,31.9,No,High,34.5,32.3,8.35,-4.3
STU12619,Anjali Agarwal,Male,19,Grade 11,High School,7.1,84.9,Yes,No,Not Completed,6.7,44.8,45.0,41.0,48.0,43.2,No,High,43.0,44.7,6.03,-1.6
STU12620,Akash Roy,Male,15,Grade 11,Associate Degree,2.0,77.1,Yes,No,Completed,6.5,51.3,43.0,49.0,42.0,41.0,No,High,46.0,44.7,1.54,-10.3
STU12621,Aryan Mehta,Female,17,Grade 11,Associate Degree,12.6,60.1,Yes,No,Not Completed,6.9,41.3,45.0,31.0,28.0,30.6,No,High,38.0,34.7,7.57,-10.7
STU12622,Shreya Srivastava,Female,16,Grade 11,Bachelor's Degree,4.5,83.2,Yes,No,Not Completed,8.1,43.1,36.0,28.0,39.0,50.6,Yes,High,32.0,34.3,3.74,7.5
STU12623,Rahul Sen,Female,16,Grade 12,High School,12.0,79.4,Yes,No,Not Completed,4.7,51.4,52.0,48.0,52.0,57.8,Yes,Medium,50.0,50.7,9.53,6.4
STU12624,Simran Verma,Female,16,Grade 12,High School,12.2,89.5,Yes,Yes,Completed,6.8,52.6,45.0,53.0,55.0,53.6,Yes,High,49.0,51.0,10.92,1.0
STU12625,Kartik Mehta,Female,19,Grade 10,Bachelor's Degree,8.1,97.3,Yes,Yes,Not Completed,5.5,49.5,38.0,49.0,49.0,43.8,No,High,43.5,45.3,7.88,-5.7
STU12626,Varun Dubey,Female,15,Grade 11,Some College,8.5,71.8,Yes,No,Not Completed,7.4,35.0,28.0,43.0,31.0,33.0,No,High,35.5,34.0,6.1,-2.0
STU12627,Priya Khan,Female,17,Grade 12,Master's Degree,4.9,80.7,Yes,No,Not Completed,5.8,47.4,52.0,39.0,48.0,51.7,Yes,High,45.5,46.3,3.95,4.3
STU12628,Tara Srivastava,Female,18,Grade 11,High School,4.8,77.8,No,Yes,Not Completed,5.9,43.0,42.0,51.0,42.0,46.8,No,High,46.5,45.0,3.73,3.8
STU12629,Meera Krishnan,Male,18,Grade 11,Associate Degree,6.0,85.9,Yes,Yes,Completed,5.4,62.3,51.0,58.0,69.0,60.0,Yes,Medium,54.5,59.3,5.15,-2.3
STU12630,Rahul Joshi,Female,17,Grade 12,Master's Degree,5.8,73.5,No,No,Completed,7.3,54.8,61.0,49.0,56.0,65.2,Yes,Medium,55.0,55.3,4.26,10.4
STU12631,Mohit Krishnan,Male,15,Grade 12,High School,3.7,85.1,Yes,Yes,Not Completed,7.8,39.5,25.0,31.0,41.0,32.5,No,High,28.0,32.3,3.15,-7.0
STU12632,Dev Reddy,Male,16,Grade 12,Some College,5.6,78.8,Yes,Yes,Not Completed,6.7,39.4,47.0,48.0,35.0,41.9,No,High,47.5,43.3,4.41,2.5
STU12633,Tanvi Dhawan,Male,19,Grade 12,High School,11.4,92.6,Yes,No,Not Completed,8.0,50.2,52.0,49.0,42.0,51.3,Yes,High,50.5,47.7,10.56,1.1
STU12634,Vikram Deshmukh,Female,18,Grade 10,Bachelor's Degree,14.1,62.9,Yes,No,Not Completed,7.2,43.1,52.0,29.0,33.0,43.7,No,High,40.5,38.0,8.87,0.6
STU12635,Preeti Chatterjee,Male,16,Grade 12,Master's Degree,4.0,84.3,Yes,Yes,Completed,7.3,63.0,60.0,61.0,69.0,66.0,Yes,Medium,60.5,63.3,3.37,3.0
STU12636,Mohit Gupta,Female,16,Grade 10,Associate Degree,11.6,82.0,Yes,Yes,Not Completed,6.1,57.2,54.0,71.0,49.0,67.0,Yes,Medium,62.5,58.0,9.51,9.8
STU12637,Kritika Jain,Female,16,Grade 11,Associate Degree,6.8,77.2,Yes,No,Not Completed,8.4,41.3,32.0,48.0,41.0,42.2,No,High,40.0,40.3,5.25,0.9
STU12638,Aman Verma,Male,16,Grade 12,High School,9.4,85.3,Yes,Yes,Completed,8.7,59.4,66.0,60.0,64.0,56.7,Yes,Medium,63.0,63.3,8.02,-2.7
STU12639,Shreya Saxena,Female,16,Grade 12,Some College,14.8,63.3,Yes,No,Completed,6.6,65.3,55.0,64.0,64.0,57.9,Yes,Medium,59.5,61.0,9.37,-7.4
STU12640,Sneha Chatterjee,Female,15,Grade 11,Bachelor's Degree,5.5,58.6,Yes,Yes,Completed,5.8,39.5,38.0,43.0,40.0,28.1,No,High,40.5,40.3,3.22,-11.4
STU12641,Vikram Ghosh,Female,16,Grade 10,Master's Degree,15.3,81.1,Yes,Yes,Not Completed,5.9,53.2,50.0,50.0,48.0,59.2,Yes,Medium,50.0,49.3,12.41,6.0
STU12642,Manav Tiwari,Male,19,Grade 10,Some College,10.9,52.3,Yes,Yes,Not Completed,5.4,40.3,26.0,26.0,43.0,28.8,No,High,26.0,31.7,5.7,-11.5
STU12643,Abhinav Pandey,Male,19,Grade 12,Some College,14.2,94.0,Yes,Yes,Not Completed,8.5,51.0,40.0,35.0,51.0,39.8,No,High,37.5,42.0,13.35,-11.2
STU12644,Riya Mishra,Female,17,Grade 12,High School,5.0,84.4,Yes,Yes,Completed,6.1,51.7,57.0,42.0,40.0,55.9,Yes,Medium,49.5,46.3,4.22,4.2
STU12645,Shreya Ghosh,Male,19,Grade 11,High School,13.0,79.7,Yes,No,Completed,5.7,61.4,64.0,52.0,59.0,55.4,Yes,Medium,58.0,58.3,10.36,-6.0
STU12646,Varun Das,Male,15,Grade 10,Associate Degree,4.9,62.5,Yes,No,Completed,7.9,40.4,31.0,39.0,41.0,38.2,No,High,35.0,37.0,3.06,-2.2
STU12647,Meera Saxena,Male,18,Grade 11,Bachelor's Degree,8.5,84.8,Yes,Yes,Not Completed,6.8,61.1,58.0,46.0,66.0,62.3,Yes,Medium,52.0,56.7,7.21,1.2
STU12648,Kavya Menon,Female,16,Grade 11,High School,14.7,65.7,Yes,No,Not Completed,6.3,44.3,35.0,49.0,36.0,38.8,No,High,42.0,40.0,9.66,-5.5
STU12649,Karan Krishnan,Male,18,Grade 12,Some College,9.2,79.2,Yes,No,Completed,7.3,56.2,50.0,62.0,61.0,56.9,Yes,Medium,56.0,57.7,7.29,0.7
STU12650,Kabir Das,Male,19,Grade 11,High School,11.6,90.8,Yes,Yes,Not Completed,7.3,51.8,58.0,52.0,48.0,53.5,Yes,High,55.0,52.7,10.53,1.7
STU12651,Swati Iyer,Female,17,Grade 11,High School,9.5,78.1,Yes,Yes,Completed,8.8,53.8,49.0,51.0,55.0,52.8,Yes,High,50.0,51.7,7.42,-1.0
STU12652,Kartik Agarwal,Male,15,Grade 12,Some College,12.0,45.0,Yes,Yes,Not Completed,6.2,49.8,50.0,37.0,48.0,38.4,No,High,43.5,45.0,5.4,-11.4
STU12653,Karan Tiwari,Male,18,Grade 11,Associate Degree,7.2,63.0,Yes,No,Not Completed,7.8,39.4,45.0,31.0,39.0,38.7,No,High,38.0,38.3,4.54,-0.7
STU12654,Harsh Menon,Male,17,Grade 10,Bachelor's Degree,14.5,91.5,Yes,No,Not Completed,7.0,50.5,33.0,45.0,43.0,40.8,No,High,39.0,40.3,13.27,-9.7
STU12655,Simran Ghosh,Female,17,Grade 12,Bachelor's Degree,6.7,80.6,Yes,Yes,Not Completed,5.9,49.4,50.0,47.0,55.0,59.5,Yes,Medium,48.5,50.7,5.4,10.1
STU12656,Rohan Mishra,Male,18,Grade 10,High School,2.0,50.7,No,No,Not Completed,7.3,35.0,35.0,32.0,28.0,34.1,No,High,33.5,31.7,1.01,-0.9
STU12657,Akash Mehta,Female,15,Grade 12,High School,7.7,62.6,No,Yes,Not Completed,5.4,35.0,25.0,28.0,32.0,36.1,No,High,26.5,28.3,4.82,1.1
STU12658,Ritu Rao,Female,19,Grade 12,Bachelor's Degree,7.4,70.4,Yes,Yes,Not Completed,9.1,36.6,37.0,41.0,41.0,39.9,No,High,39.0,39.7,5.21,3.3
STU12659,Priya Patel,Male,15,Grade 12,High School,6.9,94.4,Yes,No,Completed,6.1,55.8,54.0,44.0,57.0,51.3,Yes,High,49.0,51.7,6.51,-4.5
STU12660,Tanvi Pandey,Female,15,Grade 12,High School,3.1,45.0,Yes,Yes,Completed,8.8,38.4,38.0,36.0,42.0,34.2,No,High,37.0,38.7,1.4,-4.2
STU12661,Nisha Khan,Female,16,Grade 12,High School,5.9,76.8,Yes,Yes,Completed,6.6,52.0,44.0,61.0,50.0,54.4,Yes,High,52.5,51.7,4.53,2.4
STU12662,Zara Choudhary,Male,16,Grade 11,Some College,16.6,45.0,Yes,Yes,Not Completed,7.0,51.0,57.0,54.0,54.0,53.1,Yes,High,55.5,55.0,7.47,2.1
STU12663,Tanvi Bhatt,Female,19,Grade 12,Some College,8.8,79.0,Yes,Yes,Completed,6.6,38.6,36.0,38.0,42.0,42.8,No,High,37.0,38.7,6.95,4.2
STU12664,Kavya Sharma,Female,15,Grade 12,High School,12.6,90.3,Yes,No,Not Completed,6.0,58.8,62.0,59.0,53.0,58.5,Yes,Medium,60.5,58.0,11.38,-0.3
STU12665,Arjun Chopra,Male,18,Grade 10,High School,18.5,72.1,Yes,Yes,Completed,8.5,62.9,64.0,58.0,69.0,61.3,Yes,Medium,61.0,63.7,13.34,-1.6
STU12666,Ishaan Saxena,Male,15,Grade 10,High School,6.8,94.8,Yes,Yes,Not Completed,5.9,53.4,53.0,48.0,47.0,55.3,Yes,Medium,50.5,49.3,6.45,1.9
STU12667,Abhinav Iyer,Female,17,Grade 12,High School,3.0,75.4,Yes,Yes,Not Completed,6.4,35.0,31.0,47.0,35.0,36.7,No,High,39.0,37.7,2.26,1.7
STU12668,Meera Jain,Male,16,Grade 12,Master's Degree,7.6,76.4,Yes,No,Not Completed,7.4,53.6,56.0,53.0,55.0,51.3,Yes,High,54.5,54.7,5.81,-2.3
STU12669,Simran Joshi,Female,15,Grade 12,Master's Degree,5.8,98.0,No,Yes,Completed,8.1,48.6,52.0,46.0,56.0,55.4,Yes,Medium,49.0,51.3,5.68,6.8
STU12670,Sanjay Bhatt,Female,15,Grade 12,Some College,9.0,92.7,Yes,Yes,Completed,7.7,47.6,45.0,44.0,38.0,52.6,Yes,High,44.5,42.3,8.34,5.0
STU12671,Varun Sen,Female,15,Grade 12,High School,16.7,83.0,Yes,Yes,Not Completed,5.8,55.9,53.0,56.0,49.0,57.6,Yes,Medium,54.5,52.7,13.86,1.7
STU12672,Kritika Sheikh,Female,19,Grade 11,Some College,2.0,60.0,No,No,Not Completed,8.3,35.0,26.0,37.0,36.0,41.1,No,High,31.5,33.0,1.2,6.1
STU12673,Karan Menon,Female,17,Grade 11,Some College,6.3,95.4,Yes,Yes,Not Completed,6.6,63.2,66.0,69.0,60.0,66.9,Yes,Medium,67.5,65.0,6.01,3.7
STU12674,Lavanya Banerjee,Female,17,Grade 12,Bachelor's Degree,6.2,91.9,Yes,Yes,Completed,7.9,64.1,60.0,47.0,54.0,61.1,Yes,Medium,53.5,53.7,5.7,-3.0
STU12675,Akash Das,Male,17,Grade 11,Associate Degree,4.7,72.3,Yes,No,Completed,8.3,54.5,54.0,54.0,49.0,47.6,No,High,54.0,52.3,3.4,-6.9
STU12676,Sneha Choudhary,Male,19,Grade 11,Associate Degree,9.4,76.5,Yes,No,Completed,6.9,54.5,53.0,39.0,52.0,49.3,No,High,46.0,48.0,7.19,-5.2
STU12677,Aman Saxena,Female,18,Grade 10,Associate Degree,5.0,89.2,Yes,No,Completed,9.4,59.8,45.0,52.0,63.0,54.6,Yes,High,48.5,53.3,4.46,-5.2
STU12678,Shreya Sheikh,Male,19,Grade 12,High School,8.9,78.7,Yes,No,Not Completed,4.9,48.0,46.0,52.0,39.0,55.0,Yes,Medium,49.0,45.7,7.0,7.0
STU12679,Arjun Srivastava,Female,19,Grade 10,Bachelor's Degree,13.7,53.1,Yes,Yes,Not Completed,6.8,41.6,47.0,49.0,30.0,39.4,No,High,48.0,42.0,7.27,-2.2
STU12680,Zara Choudhary,Male,17,Grade 11,Bachelor's Degree,7.2,92.0,Yes,No,Not Completed,6.5,54.7,47.0,60.0,65.0,62.5,Yes,Medium,53.5,57.3,6.62,7.8
STU12681,Akash Nair,Male,17,Grade 10,High School,5.4,56.0,Yes,Yes,Not Completed,7.2,35.0,33.0,25.0,29.0,31.7,No,High,29.0,29.0,3.02,-3.3
STU12682,Abhinav Joshi,Female,19,Grade 10,Bachelor's Degree,7.4,86.9,No,Yes,Not Completed,8.4,49.5,62.0,53.0,46.0,52.6,Yes,High,57.5,53.7,6.43,3.1
STU12683,Nisha Ghosh,Female,15,Grade 10,Some College,14.7,51.2,Yes,No,Not Completed,6.7,43.1,40.0,38.0,31.0,34.0,No,High,39.0,36.3,7.53,-9.1
STU12684,Zara Roy,Male,19,Grade 12,Some College,13.7,76.6,Yes,Yes,Not Completed,6.0,46.3,46.0,51.0,35.0,46.9,No,High,48.5,44.0,10.49,0.6
STU12685,Akash Choudhary,Female,18,Grade 11,High School,14.4,79.8,Yes,No,Not Completed,5.0,45.8,39.0,50.0,29.0,39.1,No,High,44.5,39.3,11.49,-6.7
STU12686,Manav Mishra,Male,16,Grade 10,High School,16.0,61.5,Yes,Yes,Not Completed,9.1,46.0,49.0,39.0,46.0,46.4,No,High,44.0,44.7,9.84,0.4
STU12687,Karan Bose,Male,15,Grade 11,Some College,6.4,88.9,Yes,No,Completed,7.9,52.9,45.0,52.0,52.0,60.9,Yes,Medium,48.5,49.7,5.69,8.0
